,AllWaitMean,AllQueueMean,AllQueueNum,AllServerMean
0,2.996682542419172,3.0174234499594337,1,0.8066548225123917
1,3.1031558417457505,3.127773149498423,7,0.8072765389331139
2,2.951068606964388,2.948352414256629,2,0.799341091493085
3,2.848547496869608,2.846673096715952,0,0.7947019081695251
4,2.908913571826358,2.9004374323668114,2,0.7986156171260999
5,2.8956226478861122,2.8969006346410158,3,0.8019830014270121
6,2.90977764923208,2.901219722403534,0,0.798658678209547
7,2.914666297389661,2.9086121188376115,4,0.7954406583432865
8,2.9221937619163416,2.923535587930429,0,0.7991570167532873
9,2.873148311105596,2.862172884557174,0,0.799143690083882
