,Start Station Name,End Station Name,Start Time (per 30min),Avg_Trip_Duration
51,Church St / Alexander St,King St E / Jarvis St,18.0,10.033333333333333
7,1 Market St - SMART,Elm St/ University Ave (East Side),18.0,10.716666666666667
40,Church St / Alexander St,College Park- Gerrard Entrance,18.0,3.2666666666666666
71,Church St / Alexander St,Union Station,18.0,13.216666666666667
401,Union Station,Willcocks St / St. George St,19.0,15.933333333333334
12,1 Market St - SMART,King St E / Jarvis St,19.0,2.25
102,Church St / Alexander St,Willcocks St / St. George St,19.0,9.833333333333334
52,Church St / Alexander St,King St E / Jarvis St,19.0,7.683333333333334
236,King St E / Jarvis St,Elm St/ University Ave (East Side),19.0,7.95
250,King St E / Jarvis St,Victoria St / Queen St E,19.0,4.766666666666667
239,King St E / Jarvis St,Toronto Eaton Centre (Yonge St),19.0,3.966666666666667
25,1 Market St - SMART,Victoria St / Queen St E,19.0,8.8
72,Church St / Alexander St,Union Station,19.0,11.558333333333334
8,1 Market St - SMART,Elm St/ University Ave (East Side),19.0,13.108333333333334
109,College Park- Gerrard Entrance,Church St / Alexander St,19.0,6.066666666666666
147,College Park- Gerrard Entrance,Union Station,19.0,15.733333333333333
432,Victoria St / Queen St E,Church St / Alexander St,20.0,19.2
130,College Park- Gerrard Entrance,Toronto Eaton Centre (Yonge St),20.0,5.283333333333333
119,College Park- Gerrard Entrance,King St E / Jarvis St,20.0,10.116666666666667
378,Union Station,Toronto Eaton Centre (Yonge St),20.0,8.766666666666666
362,Union Station,King St E / Jarvis St,20.0,7.6083333333333325
41,Church St / Alexander St,College Park- Gerrard Entrance,20.0,4.833333333333333
469,Victoria St / Queen St E,King St E / Jarvis St,20.0,7.975
58,Church St / Alexander St,Toronto Eaton Centre (Yonge St),20.0,5.033333333333333
465,Victoria St / Queen St E,Elm St/ University Ave (East Side),20.0,6.85
73,Church St / Alexander St,Union Station,20.0,11.149999999999999
523,Willcocks St / St. George St,Union Station,20.0,15.566666666666666
321,Union Station,1 Market St - SMART,20.0,4.283333333333333
363,Union Station,King St E / Jarvis St,21.0,6.383333333333333
413,University Ave / Armoury St,King St E / Jarvis St,21.0,8.983333333333333
272,Toronto Eaton Centre (Yonge St),College Park- Gerrard Entrance,21.0,3.9166666666666665
53,Church St / Alexander St,King St E / Jarvis St,21.0,16.625
486,Victoria St / Queen St E,Union Station,21.0,5.866666666666666
285,Toronto Eaton Centre (Yonge St),King St E / Jarvis St,21.0,7.583333333333333
148,College Park- Gerrard Entrance,Union Station,21.0,30.0
74,Church St / Alexander St,Union Station,21.0,13.133333333333333
533,Willcocks St / St. George St,Victoria St / Queen St E,21.0,10.55
131,College Park- Gerrard Entrance,Toronto Eaton Centre (Yonge St),21.0,1.7333333333333334
0,1 Market St - SMART,Church St / Alexander St,21.0,13.5
120,College Park- Gerrard Entrance,King St E / Jarvis St,21.0,8.416666666666666
13,1 Market St - SMART,King St E / Jarvis St,22.0,3.1166666666666667
75,Church St / Alexander St,Union Station,22.0,11.233333333333333
149,College Park- Gerrard Entrance,Union Station,22.0,24.366666666666667
453,Victoria St / Queen St E,College Park- Gerrard Entrance,22.0,5.0
110,College Park- Gerrard Entrance,Church St / Alexander St,22.0,6.583333333333333
499,Victoria St / Queen St E,Willcocks St / St. George St,23.0,10.466666666666667
352,Union Station,Elm St/ University Ave (East Side),23.0,14.683333333333334
454,Victoria St / Queen St E,College Park- Gerrard Entrance,23.0,4.583333333333333
116,College Park- Gerrard Entrance,Elm St/ University Ave (East Side),23.0,4.25
466,Victoria St / Queen St E,Elm St/ University Ave (East Side),23.0,8.083333333333334
379,Union Station,Toronto Eaton Centre (Yonge St),23.0,10.716666666666667
103,Church St / Alexander St,Willcocks St / St. George St,23.0,28.116666666666667
322,Union Station,1 Market St - SMART,23.0,9.816666666666666
208,Elm St/ University Ave (East Side),Toronto Eaton Centre (Yonge St),24.0,9.883333333333333
402,Union Station,Willcocks St / St. George St,24.0,19.016666666666666
487,Victoria St / Queen St E,Union Station,24.0,19.983333333333334
263,Toronto Eaton Centre (Yonge St),Church St / Alexander St,24.0,5.516666666666667
177,College Park- Gerrard Entrance,Victoria St / Queen St E,24.0,5.141666666666667
14,1 Market St - SMART,King St E / Jarvis St,24.0,3.5833333333333335
353,Union Station,Elm St/ University Ave (East Side),24.0,9.716666666666667
364,Union Station,King St E / Jarvis St,24.0,7.091666666666667
150,College Park- Gerrard Entrance,Union Station,24.0,7.175
247,King St E / Jarvis St,Union Station,24.0,7.1499999999999995
302,Toronto Eaton Centre (Yonge St),University Ave / Armoury St,24.0,8.2
228,King St E / Jarvis St,1 Market St - SMART,24.0,3.35
76,Church St / Alexander St,Union Station,24.0,13.383333333333333
335,Union Station,College Park- Gerrard Entrance,24.0,7.733333333333333
223,Elm St/ University Ave (East Side),Willcocks St / St. George St,24.0,7.833333333333333
304,Toronto Eaton Centre (Yonge St),Victoria St / Queen St E,25.0,3.158333333333333
294,Toronto Eaton Centre (Yonge St),Union Station,25.0,6.183333333333334
273,Toronto Eaton Centre (Yonge St),College Park- Gerrard Entrance,25.0,9.541666666666666
199,Elm St/ University Ave (East Side),Church St / Alexander St,25.0,8.95
427,University Ave / Armoury St,Victoria St / Queen St E,25.0,4.933333333333334
234,King St E / Jarvis St,College Park- Gerrard Entrance,25.0,10.483333333333333
500,Victoria St / Queen St E,Willcocks St / St. George St,25.0,12.133333333333333
178,College Park- Gerrard Entrance,Victoria St / Queen St E,25.0,5.366666666666666
286,Toronto Eaton Centre (Yonge St),King St E / Jarvis St,25.0,4.516666666666667
414,University Ave / Armoury St,King St E / Jarvis St,25.0,12.766666666666666
256,Toronto Eaton Centre (Yonge St),1 Market St - SMART,25.0,9.2
365,Union Station,King St E / Jarvis St,25.0,14.445833333333333
433,Victoria St / Queen St E,Church St / Alexander St,25.0,12.1
240,King St E / Jarvis St,Toronto Eaton Centre (Yonge St),25.0,7.083333333333333
480,Victoria St / Queen St E,Toronto Eaton Centre (Yonge St),25.0,4.05
534,Willcocks St / St. George St,Victoria St / Queen St E,25.0,15.266666666666666
26,1 Market St - SMART,Victoria St / Queen St E,25.0,8.304166666666667
