Start Station Name,Start Time (minutes),1 Market St - SMART,Church St / Alexander St,College Park- Gerrard Entrance,Elm St/ University Ave (East Side),King St E / Jarvis St,Toronto Eaton Centre (Yonge St),Union Station,University Ave / Armoury St,Victoria St / Queen St E,Willcocks St / St. George St
Union Station,39.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0
Toronto Eaton Centre (Yonge St),39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
College Park- Gerrard Entrance,40.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 Market St - SMART,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0
Elm St/ University Ave (East Side),40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5
Toronto Eaton Centre (Yonge St),40.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Church St / Alexander St,40.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0
King St E / Jarvis St,40.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Union Station,40.0,0.25,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.25,0.0
University Ave / Armoury St,40.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
College Park- Gerrard Entrance,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Church St / Alexander St,41.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Willcocks St / St. George St,41.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Union Station,41.0,0.5,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0
Toronto Eaton Centre (Yonge St),41.0,0.0,0.5,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0
1 Market St - SMART,42.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Church St / Alexander St,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0
Victoria St / Queen St E,42.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0
Union Station,42.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
College Park- Gerrard Entrance,42.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Willcocks St / St. George St,42.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Toronto Eaton Centre (Yonge St),42.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Toronto Eaton Centre (Yonge St),43.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
College Park- Gerrard Entrance,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Church St / Alexander St,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Victoria St / Queen St E,43.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Union Station,43.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0
College Park- Gerrard Entrance,44.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0
Church St / Alexander St,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Willcocks St / St. George St,44.0,0.0,0.0,0.75,0.0,0.0,0.0,0.25,0.0,0.0,0.0
Victoria St / Queen St E,44.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Union Station,44.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Toronto Eaton Centre (Yonge St),44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0
Church St / Alexander St,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
College Park- Gerrard Entrance,45.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Toronto Eaton Centre (Yonge St),45.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
University Ave / Armoury St,45.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Union Station,45.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Willcocks St / St. George St,45.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Elm St/ University Ave (East Side),45.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Union Station,46.0,0.0,0.2857142857142857,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0
College Park- Gerrard Entrance,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Elm St/ University Ave (East Side),46.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Toronto Eaton Centre (Yonge St),46.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0
Church St / Alexander St,46.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,0.0
Willcocks St / St. George St,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1 Market St - SMART,47.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Church St / Alexander St,47.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0
Union Station,47.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
College Park- Gerrard Entrance,47.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0
Toronto Eaton Centre (Yonge St),47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.75,0.0
