,Trip Id,Trip_Duration,Start Station Id,Start Time,Start Station Name,End Station Id,End Time,End Station Name,Bike Id,User Type,NumOfTrips,Start Time (minutes),End Time (minutes),Start Time (per 30min),End Time (per 30min)
307,17590431,3.533333333333333,7044,2022-08-04 03:09:00,Church St / Alexander St,7389.0,2022-08-04 03:13:00,College Park- Gerrard Entrance,5799,Annual Member,21,189,193,6.0,6.0
312,17767972,3.65,7044,2022-08-11 03:04:00,Church St / Alexander St,7389.0,2022-08-11 03:08:00,College Park- Gerrard Entrance,3258,Annual Member,21,184,188,6.0,6.0
321,18109122,2.8333333333333335,7044,2022-08-24 03:16:00,Church St / Alexander St,7389.0,2022-08-24 03:19:00,College Park- Gerrard Entrance,4968,Annual Member,21,196,199,6.0,6.0
322,18159916,3.1,7044,2022-08-26 03:25:00,Church St / Alexander St,7389.0,2022-08-26 03:28:00,College Park- Gerrard Entrance,1513,Annual Member,21,205,208,6.0,6.0
318,17935142,3.0833333333333335,7044,2022-08-17 03:18:00,Church St / Alexander St,7389.0,2022-08-17 03:21:00,College Park- Gerrard Entrance,1508,Annual Member,21,198,201,6.0,6.0
314,17823267,3.0666666666666664,7044,2022-08-13 03:37:00,Church St / Alexander St,7389.0,2022-08-13 03:41:00,College Park- Gerrard Entrance,5071,Annual Member,21,217,221,7.0,7.0
309,17640749,3.35,7044,2022-08-06 03:40:00,Church St / Alexander St,7389.0,2022-08-06 03:43:00,College Park- Gerrard Entrance,1198,Annual Member,21,220,223,7.0,7.0
324,18246464,2.8833333333333333,7044,2022-08-29 03:40:00,Church St / Alexander St,7389.0,2022-08-29 03:43:00,College Park- Gerrard Entrance,2583,Annual Member,21,220,223,7.0,7.0
308,17612223,3.0666666666666664,7044,2022-08-05 03:40:00,Church St / Alexander St,7389.0,2022-08-05 03:43:00,College Park- Gerrard Entrance,3343,Annual Member,21,220,223,7.0,7.0
313,17795212,3.2333333333333334,7044,2022-08-12 03:42:00,Church St / Alexander St,7389.0,2022-08-12 03:46:00,College Park- Gerrard Entrance,546,Annual Member,21,222,226,7.0,7.0
433,18082864,4.466666666666667,7033,2022-08-23 03:52:00,Union Station,7009.0,2022-08-23 03:57:00,King St E / Jarvis St,6145,Annual Member,52,232,237,7.0,7.0
638,18219685,21.25,7044,2022-08-28 04:18:00,Church St / Alexander St,7009.0,2022-08-28 04:39:00,King St E / Jarvis St,4612,Annual Member,10,258,279,8.0,9.0
28,17517303,25.15,7647,2022-08-01 04:19:00,Elm St/ University Ave (East Side),7406.0,2022-08-01 04:44:00,Victoria St / Queen St E,6675,Annual Member,1,259,284,8.0,9.0
35,17740762,11.9,7044,2022-08-10 04:23:00,Church St / Alexander St,7033.0,2022-08-10 04:34:00,Union Station,7066,Annual Member,37,263,274,8.0,9.0
667,17695553,7.3,7647,2022-08-08 04:39:00,Elm St/ University Ave (East Side),7044.0,2022-08-08 04:47:00,Church St / Alexander St,3211,Annual Member,3,279,287,9.0,9.0
36,17740819,7.216666666666667,7044,2022-08-10 04:45:00,Church St / Alexander St,7033.0,2022-08-10 04:52:00,Union Station,5628,Annual Member,37,285,292,9.0,9.0
825,17883148,28.266666666666666,7009,2022-08-15 05:24:00,King St E / Jarvis St,7033.0,2022-08-15 05:53:00,Union Station,5373,Casual Member,32,324,353,10.0,11.0
123,17962103,8.366666666666667,7269,2022-08-18 05:30:00,Toronto Eaton Centre (Yonge St),7033.0,2022-08-18 05:38:00,Union Station,2766,Casual Member,18,330,338,11.0,11.0
463,17856177,4.966666666666667,7406,2022-08-14 05:39:00,Victoria St / Queen St E,7389.0,2022-08-14 05:44:00,College Park- Gerrard Entrance,2949,Casual Member,31,339,344,11.0,11.0
29,17517607,7.35,7044,2022-08-01 05:49:00,Church St / Alexander St,7033.0,2022-08-01 05:57:00,Union Station,2120,Annual Member,37,349,357,11.0,11.0
44,17988346,8.183333333333334,7044,2022-08-19 05:53:00,Church St / Alexander St,7033.0,2022-08-19 06:01:00,Union Station,6391,Annual Member,37,353,361,11.0,12.0
707,17908595,3.0833333333333335,7033,2022-08-16 05:58:00,Union Station,7406.0,2022-08-16 06:01:00,Victoria St / Queen St E,7152,Annual Member,8,358,361,11.0,12.0
30,17540730,8.016666666666666,7044,2022-08-02 06:05:00,Church St / Alexander St,7033.0,2022-08-02 06:13:00,Union Station,3460,Annual Member,37,365,373,12.0,12.0
31,17566565,8.466666666666667,7044,2022-08-03 06:07:00,Church St / Alexander St,7033.0,2022-08-03 06:16:00,Union Station,5776,Annual Member,37,367,376,12.0,12.0
33,17714878,8.85,7044,2022-08-09 06:08:00,Church St / Alexander St,7033.0,2022-08-09 06:17:00,Union Station,3787,Annual Member,37,368,377,12.0,12.0
407,17768431,5.383333333333333,7033,2022-08-11 06:12:00,Union Station,7009.0,2022-08-11 06:17:00,King St E / Jarvis St,6202,Casual Member,52,372,377,12.0,12.0
45,18015818,9.233333333333333,7044,2022-08-20 06:13:00,Church St / Alexander St,7033.0,2022-08-20 06:22:00,Union Station,4200,Annual Member,37,373,382,12.0,12.0
444,18246958,4.383333333333333,7033,2022-08-29 06:27:00,Union Station,7009.0,2022-08-29 06:32:00,King St E / Jarvis St,4089,Casual Member,52,387,392,12.0,13.0
47,18046814,8.066666666666666,7044,2022-08-21 06:15:00,Church St / Alexander St,7033.0,2022-08-21 06:23:00,Union Station,3956,Annual Member,37,375,383,12.0,12.0
443,18246957,4.666666666666667,7033,2022-08-29 06:27:00,Union Station,7009.0,2022-08-29 06:32:00,King St E / Jarvis St,4889,Casual Member,52,387,392,12.0,13.0
65,18291367,9.783333333333333,7044,2022-08-31 06:17:00,Church St / Alexander St,7033.0,2022-08-31 06:26:00,Union Station,829,Annual Member,37,377,386,12.0,12.0
42,17962208,8.35,7044,2022-08-18 06:04:00,Church St / Alexander St,7033.0,2022-08-18 06:12:00,Union Station,4346,Annual Member,37,364,372,12.0,12.0
183,17612679,9.566666666666666,7044,2022-08-05 06:19:00,Church St / Alexander St,7406.0,2022-08-05 06:29:00,Victoria St / Queen St E,2120,Annual Member,38,379,389,12.0,12.0
415,17883392,4.35,7033,2022-08-15 06:26:00,Union Station,7009.0,2022-08-15 06:30:00,King St E / Jarvis St,4992,Casual Member,52,386,390,12.0,13.0
424,17962334,4.516666666666667,7033,2022-08-18 06:27:00,Union Station,7009.0,2022-08-18 06:32:00,King St E / Jarvis St,4639,Casual Member,52,387,392,12.0,13.0
56,18136628,8.333333333333334,7044,2022-08-25 06:15:00,Church St / Alexander St,7033.0,2022-08-25 06:23:00,Union Station,4486,Annual Member,37,375,383,12.0,12.0
62,18270379,9.116666666666667,7044,2022-08-30 06:16:00,Church St / Alexander St,7033.0,2022-08-30 06:25:00,Union Station,5903,Annual Member,37,376,385,12.0,12.0
51,18109672,8.416666666666666,7044,2022-08-24 06:19:00,Church St / Alexander St,7033.0,2022-08-24 06:28:00,Union Station,296,Annual Member,37,379,388,12.0,12.0
437,18109709,4.35,7033,2022-08-24 06:28:00,Union Station,7009.0,2022-08-24 06:32:00,King St E / Jarvis St,315,Casual Member,52,388,392,12.0,13.0
446,18270450,5.25,7033,2022-08-30 06:28:00,Union Station,7009.0,2022-08-30 06:33:00,King St E / Jarvis St,2141,Casual Member,52,388,393,12.0,13.0
420,17935663,4.183333333333334,7033,2022-08-17 06:27:00,Union Station,7009.0,2022-08-17 06:31:00,King St E / Jarvis St,5265,Casual Member,52,387,391,12.0,13.0
419,17935662,4.133333333333333,7033,2022-08-17 06:27:00,Union Station,7009.0,2022-08-17 06:31:00,King St E / Jarvis St,3878,Casual Member,52,387,391,12.0,13.0
